Date,Buyer,Seller,Price,Volume,TradeType
14.02.20 16:25:10,,,175.25,115,UT
14.02.20 16:25:10,,,175.25,229,UT
14.02.20 16:25:10,,,175.25,457,UT
14.02.20 16:25:10,,,175.25,914,UT
14.02.20 16:25:10,,,175.25,"1,827",UT
14.02.20 16:25:10,,,175.25,"3,653",UT
14.02.20 16:25:10,,,175.25,"3,789",UT
14.02.20 16:25:10,,,175.25,"10,820",UT
14.02.20 16:25:10,,,175.25,"7,305",UT
14.02.20 16:25:10,,,175.25,"6,060",UT
14.02.20 16:25:10,,,175.25,"1,480",UT
14.02.20 16:25:10,,,175.25,431,UT
14.02.20 16:25:10,,,175.25,"5,308",UT
14.02.20 16:25:10,,,175.25,"3,749",UT
14.02.20 16:25:10,,,175.25,"11,797",UT
14.02.20 16:25:10,,,175.25,392,UT
14.02.20 16:25:10,,,175.25,687,UT
14.02.20 16:25:10,,,175.25,648,UT
14.02.20 16:25:10,,,175.25,"3,676",UT
14.02.20 16:25:10,,,175.25,78,UT
14.02.20 16:25:10,,,175.25,"3,023",UT
14.02.20 16:25:10,,,175.25,"1,881",UT
14.02.20 16:25:10,,,175.25,162,UT
14.02.20 16:25:10,,,175.25,5,UT
14.02.20 16:25:10,,,175.25,319,UT
14.02.20 16:25:10,,,175.25,"2,375",UT
14.02.20 16:25:10,,,175.25,"2,330",UT
14.02.20 16:25:10,,,175.25,"17,000",UT
14.02.20 16:25:10,,,175.25,"12,261",UT
14.02.20 16:25:10,,,175.25,"1,331",UT
14.02.20 16:25:10,,,175.25,207,UT
14.02.20 16:25:10,,,175.25,248,UT
14.02.20 16:25:10,,,175.25,"1,818",UT
14.02.20 16:25:10,,,175.25,"11,251",UT
14.02.20 16:25:10,,,175.25,"4,223",UT
14.02.20 16:25:10,,,175.25,"1,696",UT
14.02.20 16:25:10,,,175.25,"3,944",UT
14.02.20 16:25:10,,,175.25,209,UT
14.02.20 16:25:10,,,175.25,741,UT
14.02.20 16:25:10,,,175.25,326,UT
